GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java avancé en PRF !,fr.maboite.persistence,JdbcInit,100,0,2,0,35,0,4,0,3,0
Java avancé en PRF !,fr.maboite.logger,Looper,35,0,2,0,9,0,4,0,3,0
Java avancé en PRF !,fr.maboite.logger,TestException,3,0,0,0,1,0,1,0,1,0
Java avancé en PRF !,fr.maboite.logger,LoggerExample,25,0,0,0,7,0,3,0,3,0
Java avancé en PRF !,fr.maboite.io,EntreeSortie,48,0,2,0,12,0,3,0,2,0
Java avancé en PRF !,fr.maboite,Factorial,5,0,0,0,2,0,2,0,2,0
Java avancé en PRF !,fr.maboite,MonEnum,21,0,0,0,2,0,1,0,1,0
Java avancé en PRF !,fr.maboite,ComplexClass,131,0,37,0,39,0,23,0,3,0
Java avancé en PRF !,fr.maboite,Calculator,42,33,10,0,10,4,6,2,1,2
Java avancé en PRF !,fr.maboite,PropertiesUtil,63,0,0,0,22,0,5,0,5,0
Java avancé en PRF !,fr.maboite,MonBean,175,0,19,0,50,0,26,0,16,0
Java avancé en PRF !,fr.maboite,Horoscope,151,0,4,0,24,0,7,0,5,0
Java avancé en PRF !,fr.maboite,nomPasTop,4,0,0,0,2,0,2,0,2,0
Java avancé en PRF !,fr.maboite.servlet,WelcomeServlet,43,0,4,0,15,0,6,0,4,0
